"Year","Age","Cause_of_death","Gender","Death_count"
2018,58,"Suicide","Female",2
2022,54,"Cancer","Female",28
2019,55,"COVID-19","Female",1
2017,59,"Homicide","Female",7
2018,49,"Suicide","Male",1
2022,26,"Other","Female",1
2020,57,"Accident","Female",1
2022,35,"Suicide","Female",1
2022,54,"Cardiovascular Disease","Female",2
2020,57,"Homicide","Male",8
2022,49,"Drug Toxicity","Male",19
2018,52,"Other","Female",1
2019,62,"Accident","Male",1
2018,58,"Drug Toxicity","Male",1
2021,63,"COVID-19","Female",1
2020,37,"COVID-19","Female",1
2019,41,"Other","Female",21
2019,54,"COVID-19","Male",1
2018,50,"Cancer","Male",1
2017,44,"COVID-19","Male",22
2018,59,"Homicide","Male",6
2019,49,"Pneumonia","Female",1
2020,60,"Homicide","Female",1
2020,41,"Other","Female",1
2022,52,"Drug Toxicity","Male",1
2020,43,"Accident","Female",1
2021,37,"Homicide","Male",1
2019,58,"Cardiovascular Disease","Male",9
2017,56,"Suicide","Female",1
2019,36,"Other","Female",1
2020,53,"Drug Toxicity","Male",4
2018,47,"Accident","Male",1
2022,38,"COVID-19","Male",2
2021,52,"Drug Toxicity","Female",1
2021,55,"Drug Toxicity","Female",1
2022,51,"Accident","Female",1
2022,64,"Cardiovascular Disease","Male",1
2021,59,"Homicide","Female",1
2017,35,"Other","Male",1
2021,70,"Drug Toxicity","Male",1
2020,59,"Homicide","Male",5
2019,56,"Cancer","Male",1
2022,63,"Homicide","Male",1
2017,36,"Drug Toxicity","Female",1
2017,51,"Other","Male",10
2017,33,"Accident","Male",1
2022,58,"Pneumonia","Female",1
2019,52,"Pneumonia","Female",1
2017,45,"Other","Female",45
2017,53,"Other","Female",1
2022,62,"Suicide","Male",4
2020,54,"Cancer","Male",1
2022,53,"Cardiovascular Disease","Female",1
2019,61,"Drug Toxicity","Female",1
2021,74,"Cardiovascular Disease","Female",1
2022,57,"Cancer","Female",1
2019,41,"Suicide","Male",21
2022,58,"Cardiovascular Disease","Male",1
2020,63,"Drug Toxicity","Female",1
2019,54,"Cardiovascular Disease","Male",3
2019,41,"Cancer","Male",1
2019,40,"COVID-19","Male",1
2022,50,"Accident","Female",1
2020,36,"Other","Female",1
2019,55,"Other","Female",2
2022,60,"COVID-19","Female",8
2022,55,"COVID-19","Female",1
2021,39,"Suicide","Female",1
2020,47,"Pneumonia","Male",1
2020,69,"Cardiovascular Disease","Female",1
2019,26,"Other","Male",41
2017,46,"Homicide","Male",1
2022,48,"Drug Toxicity","Male",1
2018,61,"Accident","Male",1
2021,44,"Accident","Male",1
2019,48,"COVID-19","Male",1
2021,46,"Pneumonia","Female",1
2020,54,"Homicide","Female",2
2021,37,"Homicide","Female",1
2020,73,"Cardiovascular Disease","Female",1
2020,46,"Cancer","Female",13
2021,47,"Accident","Male",5
2017,46,"Drug Toxicity","Male",3
2018,48,"COVID-19","Female",1
2017,49,"Other","Male",1
2018,46,"Drug Toxicity","Female",1
